"date","stop_id","entries","exits","hour"
2025-04-02,1,487,2967,20
2025-04-02,2,1203,811,22
2025-04-02,3,3075,1816,18
2025-04-02,4,4998,4718,10
2025-04-02,5,945,3148,16
2025-04-02,6,774,3511,11
2025-04-02,7,1641,2729,22
2025-04-02,8,4542,4307,5
2025-04-02,9,1403,2144,20
2025-04-02,10,1797,4707,12
2025-04-02,11,3943,4703,15
2025-04-02,12,1811,2624,16
2025-04-02,13,3367,4639,22
2025-04-02,14,2245,1488,13
2025-04-02,15,3885,990,18
2025-04-02,16,1773,4319,6
2025-04-02,17,1011,3448,2
2025-04-02,18,996,365,23
2025-04-02,19,3617,1907,18
2025-04-02,20,1727,3724,16
2025-04-02,21,154,3006,21
2025-04-02,22,1746,2649,8
2025-04-02,23,1074,3407,19
2025-04-02,24,3492,1783,7
2025-04-02,25,1792,4853,18
2025-04-02,26,4417,3649,20
2025-04-02,27,3617,4827,2
2025-04-02,28,3991,3856,14
2025-04-02,29,651,4444,18
2025-04-02,30,1998,1139,3
2025-04-02,31,4513,1647,8
2025-04-02,32,251,2345,13
2025-04-02,33,3924,971,8
2025-04-02,34,1065,1728,18
2025-04-02,35,786,3258,18
2025-04-02,36,868,3632,19
2025-04-02,37,4815,4991,3
2025-04-02,38,260,4234,7
2025-04-02,39,1209,2161,23
2025-04-02,40,2423,2649,18
2025-04-02,41,3647,963,3
2025-04-02,42,3927,506,19
2025-04-02,43,3067,3830,4
2025-04-02,44,4119,4273,3
2025-04-02,45,2509,3606,18
2025-04-02,46,525,4957,18
2025-04-02,47,1249,3912,18
2025-04-02,48,176,1435,11
2025-04-02,49,3397,3490,18
2025-04-02,50,1625,2723,1
2025-04-02,51,4574,1094,15
2025-04-02,52,4105,183,13
2025-04-02,53,2751,4592,22
2025-04-02,54,199,297,11
2025-04-02,55,4532,1001,22
2025-04-02,56,1043,4731,17
2025-04-02,57,3138,872,19
2025-04-02,58,2282,102,13
2025-04-02,59,4619,503,8
2025-04-02,60,2685,3675,21
2025-04-02,61,3184,2430,16
2025-04-02,62,2950,2631,0
2025-04-02,63,2661,3876,4
2025-04-02,64,2966,2993,20
2025-04-02,65,3631,2060,4
2025-04-02,66,1237,386,0
2025-04-02,67,1386,2686,3
2025-04-02,68,4231,4807,8
2025-04-02,69,3297,1534,0
2025-04-02,70,912,187,18
2025-04-02,71,4818,752,11
2025-04-02,72,4263,564,18
2025-04-02,73,2804,1666,22
2025-04-02,74,492,2640,2
2025-04-02,75,688,4363,21
2025-04-02,76,639,4537,10
2025-04-02,77,3203,3948,8
2025-04-02,78,3332,3013,15
2025-04-02,79,3977,3865,22
2025-04-02,80,3469,2924,3
2025-04-02,81,4378,1004,2
2025-04-02,82,4497,4701,13
2025-04-02,83,3233,457,17
2025-04-02,84,2120,230,1
2025-04-02,85,2686,3649,18
2025-04-02,86,1360,657,14
2025-04-02,87,1170,1131,15
2025-04-02,88,179,2844,23
2025-04-02,89,3447,425,8
2025-04-02,90,1234,2654,13
2025-04-02,91,2102,2785,18
2025-04-02,92,4607,221,7
2025-04-02,93,1166,1179,14
2025-04-02,94,3338,1841,10
2025-04-02,95,3566,4531,1
2025-04-02,96,1459,2220,5
2025-04-02,97,2455,4362,4
2025-04-02,98,1443,2745,21
2025-04-02,99,186,1059,2
2025-04-02,100,283,401,13
2025-04-03,1,2933,2535,10
2025-04-03,2,2228,813,21
2025-04-03,3,957,2061,2
2025-04-03,4,4981,1573,18
2025-04-03,5,806,4055,0
2025-04-03,6,3517,3507,10
2025-04-03,7,4271,1546,1
2025-04-03,8,912,3897,13
2025-04-03,9,1448,2511,9
2025-04-03,10,753,3988,13
2025-04-03,11,3491,2630,12
2025-04-03,12,3970,3609,2
2025-04-03,13,2970,195,12
2025-04-03,14,2532,2603,12
2025-04-03,15,3210,3804,5
2025-04-03,16,1431,3123,19
2025-04-03,17,2395,2335,20
2025-04-03,18,2696,4681,14
2025-04-03,19,4680,2525,20
2025-04-03,20,657,1073,9
2025-04-03,21,4679,2412,20
2025-04-03,22,1581,3465,21
2025-04-03,23,3066,129,16
2025-04-03,24,2425,4050,20
2025-04-03,25,4960,4828,17
2025-04-03,26,2985,1065,9
2025-04-03,27,2253,2614,4
2025-04-03,28,978,129,5
2025-04-03,29,3895,1393,18
2025-04-03,30,2957,4290,7
2025-04-03,31,3497,3168,19
2025-04-03,32,1553,1312,23
2025-04-03,33,513,270,12
2025-04-03,34,4552,1476,1
2025-04-03,35,1233,123,12
2025-04-03,36,3641,2714,22
2025-04-03,37,4944,1625,15
2025-04-03,38,2844,1014,11
2025-04-03,39,4071,1952,21
2025-04-03,40,2285,1412,2
2025-04-03,41,1116,4114,2
2025-04-03,42,3353,3608,4
2025-04-03,43,3977,4358,11
2025-04-03,44,3164,2408,14
2025-04-03,45,3301,825,5
2025-04-03,46,1114,3322,8
2025-04-03,47,3988,4484,6
2025-04-03,48,2639,4445,5
2025-04-03,49,494,1244,3
2025-04-03,50,385,4170,1
2025-04-03,51,1650,3005,17
2025-04-03,52,3381,607,22
2025-04-03,53,1215,181,21
2025-04-03,54,4973,2728,22
2025-04-03,55,536,2337,7
2025-04-03,56,3453,4692,7
2025-04-03,57,1681,3973,9
2025-04-03,58,4698,3625,15
2025-04-03,59,3453,1633,2
2025-04-03,60,1985,326,21
2025-04-03,61,4039,3250,19
2025-04-03,62,4035,4832,22
2025-04-03,63,2923,877,0
2025-04-03,64,926,129,7
2025-04-03,65,4382,4432,15
2025-04-03,66,3202,2562,15
2025-04-03,67,947,3588,18
2025-04-03,68,3407,1626,21
2025-04-03,69,713,4465,21
2025-04-03,70,237,998,9
2025-04-03,71,2035,1811,5
2025-04-03,72,1593,1772,4
2025-04-03,73,2121,745,15
2025-04-03,74,1900,3693,11
2025-04-03,75,128,2343,0
2025-04-03,76,3940,1037,14
2025-04-03,77,1338,359,23
2025-04-03,78,261,2159,9
2025-04-03,79,3368,2365,17
2025-04-03,80,737,1768,7
2025-04-03,81,581,2187,17
2025-04-03,82,4934,2088,10
2025-04-03,83,448,903,5
2025-04-03,84,3348,4668,14
2025-04-03,85,2114,4990,19
2025-04-03,86,3479,746,6
2025-04-03,87,4901,4870,2
2025-04-03,88,3408,312,17
