"stop_id","stop_name","stop_lat","stop_lon"
1,"Stop 1",40.704222865426,-73.9536310197809
2,"Stop 2",40.7545329731423,-73.9727539647161
3,"Stop 3",40.7837372974958,-74.0127043667831
4,"Stop 4",40.7282222921029,-74.019981576642
5,"Stop 5",40.7960558964871,-73.9669109833264
6,"Stop 6",40.7270077661145,-73.9949834763119
7,"Stop 7",40.7571335439803,-73.9707544481079
8,"Stop 8",40.7077087809565,-74.0110032581445
9,"Stop 9",40.7655186469434,-73.9833744118968
10,"Stop 10",40.777820934495,-73.9681567611848
11,"Stop 11",40.709752128087,-74.0050628831307
12,"Stop 12",40.7868779264623,-74.0003981075389
13,"Stop 13",40.7295319130411,-73.9539690226596
14,"Stop 14",40.7739819091512,-73.9870733097522
15,"Stop 15",40.7393770460505,-73.9740044045285
16,"Stop 16",40.7754468954401,-74.0113669051765
17,"Stop 17",40.7818580796476,-73.9820908562583
18,"Stop 18",40.7055365690962,-74.0093025522167
19,"Stop 19",40.7139114162885,-73.9793264537514
20,"Stop 20",40.749834688101,-73.959602438882
21,"Stop 21",40.7226853548782,-73.9509375755512
22,"Stop 22",40.7081673756242,-73.9699404617003
23,"Stop 23",40.7552183894208,-73.9734229556704
24,"Stop 24",40.7222067500697,-74.0040139923245
25,"Stop 25",40.7215180406114,-74.0139390337723
26,"Stop 26",40.7030071385903,-74.0195605017105
27,"Stop 27",40.7395756615093,-73.9635789636103
28,"Stop 28",40.7137306120712,-73.9678724209103
29,"Stop 29",40.7770283426158,-74.0066362471203
30,"Stop 30",40.7144323196728,-73.9673757503903
31,"Stop 31",40.7309391050367,-73.9817897127103
32,"Stop 32",40.7569512234302,-73.9938357588346
33,"Stop 33",40.7884423826821,-73.9878825018159
34,"Stop 34",40.7116596493404,-73.991412311045
35,"Stop 35",40.7171955056256,-73.9796170227695
36,"Stop 36",40.7352210212033,-73.9824788931711
37,"Stop 37",40.766982170986,-73.9707188531547
38,"Stop 38",40.705460344837,-73.9858771154797
39,"Stop 39",40.7595909311436,-74.0039165454218
40,"Stop 40",40.7919953829609,-73.9771507906215
41,"Stop 41",40.7633977406658,-73.9563805063721
42,"Stop 42",40.7433075939305,-73.9585717754159
43,"Stop 43",40.7508121135179,-73.9621923778788
44,"Stop 44",40.7875831695739,-73.9671357359691
45,"Stop 45",40.7747893925989,-73.9580313117639
46,"Stop 46",40.7470721263904,-73.9875031420519
47,"Stop 47",40.7837266541785,-73.9657124292781
48,"Stop 48",40.7464310199488,-73.9994841004745
49,"Stop 49",40.763523117057,-73.9706264091632
50,"Stop 50",40.7021557077533,-73.9515216817078
51,"Stop 51",40.7751289894339,-73.9520710624498
52,"Stop 52",40.7111497289967,-73.9758784243278
53,"Stop 53",40.7830089984694,-73.9586461616168
54,"Stop 54",40.7654464969179,-73.9903845817014
55,"Stop 55",40.7729508304968,-73.9654656851897
56,"Stop 56",40.7059548922349,-73.9891974683804
57,"Stop 57",40.7371645691339,-73.9608382831514
58,"Stop 58",40.7813221484888,-73.9560897580744
59,"Stop 59",40.7331348964712,-73.9587654394121
60,"Stop 60",40.7759884725325,-73.9603127326444
61,"Stop 61",40.7008212165907,-73.9573120464757
62,"Stop 62",40.7696366595803,-73.9667638906604
63,"Stop 63",40.7890865440946,-74.0186808835855
64,"Stop 64",40.7289281605277,-74.0081449738564
65,"Stop 65",40.7084310702048,-74.005311811415
66,"Stop 66",40.7702562098624,-73.9633712343802
67,"Stop 67",40.7530088932719,-74.0104048181768
68,"Stop 68",40.7557148550171,-73.9622279953561
69,"Stop 69",40.7919396488462,-74.0050924274139
70,"Stop 70",40.749879284855,-73.9716622341704
71,"Stop 71",40.7196953455685,-73.9602549895551
72,"Stop 72",40.7688185920939,-73.9545464378898
73,"Stop 73",40.7637112939265,-74.0133187604509
74,"Stop 74",40.7464766659541,-74.0052789370948
75,"Stop 75",40.7210321234306,-73.9515640915674
76,"Stop 76",40.797628393257,-74.0165116476617
77,"Stop 77",40.7870772598544,-73.9594423945365
78,"Stop 78",40.7600575266173,-73.9701276108879
79,"Stop 79",40.7015918104211,-73.959734093016
80,"Stop 80",40.7549055674346,-73.9994751310349
81,"Stop 81",40.726489819563,-73.9617626676359
82,"Stop 82",40.7036333621945,-74.0121705520898
83,"Stop 83",40.7147846431006,-74.0020723618381
84,"Stop 84",40.7708309505833,-73.9810241534375
85,"Stop 85",40.700775084924,-74.0021458118898
86,"Stop 86",40.7091425957391,-74.0115371216508
87,"Stop 87",40.7524539502105,-74.0199889105302
88,"Stop 88",40.718403630564,-73.9623958962713
89,"Stop 89",40.7785370670957,-73.9891453569848
90,"Stop 90",40.7248610542621,-73.9527455670177
91,"Stop 91",40.7161418429576,-74.0004584937636
92,"Stop 92",40.7640494197374,-74.0107403202192
93,"Stop 93",40.7716508415993,-73.9924653413193
94,"Stop 94",40.7753268735483,-74.0119517019182
95,"Stop 95",40.7378517418867,-73.9649332903582
96,"Stop 96",40.7167056105565,-73.9958790666028
97,"Stop 97",40.7586172253359,-73.9907235735189
98,"Stop 98",40.7661806615768,-73.9994888421427
99,"Stop 99",40.7299680314958,-73.9793426282424
100,"Stop 100",40.7646463358775,-74.0071245255624
